Hotel No.,Hotel Name,Overall Rating,Overall Polarity
41,"Royal Orchid Sheraton Hotel & Towers, Bangkok",4.5,4.5241125
42,"The Quarter Ladprao by UHG Hotel, Bangkok",4.5,4.55797
43,"The Quarter Ari by UHG Hotel, Bangkok",4.5,4.589507499999999
44,SKYVIEW Hotel Bangkok,4.5,4.57263157894737
45,Siri Sathorn Bangkok by UHG Hotel,4.5,4.547145000000001
46,"Evergreen Place Siam by UHG Hotel, Bangkok",4.5,4.664816666666667
47,Renaissance Bangkok Ratchaprasong Hotel,4.5,4.675485
48,Millennium Hilton Bangkok Hotel,4.5,4.3511000000000015
49,Swissotel Bangkok Ratchada Hotel,4.5,4.6771875000000005
50,"Vince Hotel, Bangkok",4.5,4.689244999999999
51,"The Cottage Suvarnabhumi Hotel, Bangkok",3.5,4.374942499999999
52,Chatrium Hotel Riverside Bangkok,4.5,4.7355875
53,"The Quarter Phromphong By UHG Hotel, Bangkok",5.0,4.786712500000001
54,"The Quarter Silom by UHG Hotel, Bangkok",5.0,4.895516949152542
55,Sindhorn Midtown Hotel Bangkok,5.0,4.793152499999998
56,"The Quarter Hualamphong By UHG Hotel, Bangkok",5.0,4.816245000000003
57,Banyan Tree Bangkok Hotel,4.5,4.705835000000001
58,Carlton Hotel Bangkok Sukhumvit,5.0,4.834829081632654
59,"Mandarin Oriental, Bangkok Hotel",5.0,4.798875000000001
60,Centara Grand at Central Plaza Ladprao Bangkok Hotel,4.5,4.364854999999999